Entity Name,Attribute Name,Attribute Data Type,Pseudonymization
assessmentAssessedGradeLevels,,,
,gradeLevelDescriptor,string,no-op
assessmentContentStandardAuthors,,,
,author,string,no-op
assessmentContentStandards,,,
,publicationStatusDescriptor,string,no-op
,beginDate,date,no-op
,endDate,date,no-op
,publicationDate,date,no-op
,publicationYear,integer,no-op
,title,string,no-op
,uri,string,no-op
,version,string,no-op
,mandatingEducationOrganizationReference,struct,no-op
,authors,array,no-op
assessmentIdentificationCodes,,,
,assessmentIdentificationSystemDescriptor,string,no-op
,assigningOrganizationIdentificationCode,string,no-op
,identificationCode,string,no-op
assessmentLanguages,,,
,languageDescriptor,string,no-op
assessmentPerformanceLevels,,,
,assessmentReportingMethodDescriptor,string,no-op
,performanceLevelDescriptor,string,no-op
,resultDatatypeTypeDescriptor,string,no-op
,maximumScore,string,no-op
,minimumScore,string,no-op
